tick,agent_id,personality,position,inventory,action_type,action_detail,result,message,resources_remaining
1,A2,neutral,"(8, 6)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,30
1,A3,cooperative,"(1, 2)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,30
1,A4,deceptive,"(8, 3)",1,collect,{'type': 'collect'},collected,,29
1,A1,cooperative,"(8, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,29
2,A2,neutral,"(8, 6)",1,collect,{'type': 'collect'},collected,,28
2,A3,cooperative,"(1, 2)",1,collect,{'type': 'collect'},collected,,27
2,A4,deceptive,"(7, 3)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,27
2,A1,cooperative,"(7, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,27
3,A2,neutral,"(7, 6)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,27
3,A1,cooperative,"(6, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,27
3,A3,cooperative,"(1, 3)",1,move,"{'type': 'move', 'direction': 'S'}",moved_S,,27
3,A4,deceptive,"(6, 3)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,27
4,A3,cooperative,"(1, 4)",1,move,"{'type': 'move', 'direction': 'S'}",moved_S,,27
4,A4,deceptive,"(6, 3)",2,collect,{'type': 'collect'},collected,,26
4,A1,cooperative,"(6, 9)",1,collect,{'type': 'collect'},collected,,25
4,A2,neutral,"(7, 7)",1,move,"{'type': 'move', 'direction': 'S'}",moved_S,,25
5,A1,cooperative,"(6, 8)",1,move,"{'type': 'move', 'direction': 'N'}",moved_N,,25
5,A3,cooperative,"(1, 4)",2,collect,{'type': 'collect'},collected,,24
5,A2,neutral,"(7, 7)",2,collect,{'type': 'collect'},collected,,23
5,A4,deceptive,"(5, 3)",2,move,"{'type': 'move', 'direction': 'W'}",moved_W,,23
6,A2,neutral,"(7, 8)",2,move,"{'type': 'move', 'direction': 'S'}",moved_S,,23
6,A1,cooperative,"(6, 8)",2,collect,{'type': 'collect'},collected,,22
6,A3,cooperative,"(2, 4)",2,move,"{'type': 'move', 'direction': 'E'}",moved_E,,22
6,A4,deceptive,"(5, 3)",3,collect,{'type': 'collect'},collected,,21
7,A2,neutral,"(7, 8)",3,collect,{'type': 'collect'},collected,,20
7,A3,cooperative,"(3, 4)",2,move,"{'type': 'move', 'direction': 'E'}",moved_E,,20
7,A1,cooperative,"(5, 8)",2,move,"{'type': 'move', 'direction': 'W'}",moved_W,,20
7,A4,deceptive,"(4, 3)",3,move,"{'type': 'move', 'direction': 'W'}",moved_W,,20
8,A1,cooperative,"(5, 8)",3,collect,{'type': 'collect'},collected,,19
8,A2,neutral,"(6, 8)",3,move,"{'type': 'move', 'direction': 'W'}",moved_W,,19
8,A3,cooperative,"(3, 4)",3,collect,{'type': 'collect'},collected,,18
8,A4,deceptive,"(4, 3)",4,collect,{'type': 'collect'},collected,,17
9,A4,deceptive,"(4, 2)",4,move,"{'type': 'move', 'direction': 'N'}",moved_N,,17
9,A1,cooperative,"(5, 7)",3,move,"{'type': 'move', 'direction': 'N'}",moved_N,,17
