tick,agent_id,personality,position,inventory,action_type,action_detail,result,message,resources_remaining
1,A3,deceptive,"(8, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,30
1,A2,deceptive,"(5, 1)",0,collect,{'type': 'collect'},nothing_to_collect,,30
1,A4,deceptive,"(4, 5)",1,collect,{'type': 'collect'},collected,,29
1,A1,aggressive,"(5, 2)",0,raid,"{'type': 'raid', 'target_id': 'A2'}",raid_empty,,29
2,A1,aggressive,"(5, 2)",0,raid,"{'type': 'raid', 'target_id': 'A2'}",raid_empty,,29
2,A4,deceptive,"(5, 5)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,29
2,A2,deceptive,"(5, 1)",0,collect,{'type': 'collect'},nothing_to_collect,,29
2,A3,deceptive,"(7, 9)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,29
3,A4,deceptive,"(6, 5)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,29
3,A1,aggressive,"(5, 2)",0,raid,"{'type': 'raid', 'target_id': 'A2'}",raid_empty,,29
3,A2,deceptive,"(5, 1)",0,collect,{'type': 'collect'},nothing_to_collect,,29
3,A3,deceptive,"(7, 9)",1,collect,{'type': 'collect'},collected,,28
4,A4,deceptive,"(7, 5)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,28
4,A2,deceptive,"(5, 1)",0,collect,{'type': 'collect'},nothing_to_collect,,28
4,A3,deceptive,"(6, 9)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
4,A1,aggressive,"(5, 2)",0,raid,"{'type': 'raid', 'target_id': 'A2'}",raid_empty,,28
5,A1,aggressive,"(5, 2)",0,raid,"{'type': 'raid', 'target_id': 'A2'}",raid_empty,,28
5,A2,deceptive,"(4, 1)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
5,A3,deceptive,"(5, 9)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,28
5,A4,deceptive,"(8, 5)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,28
6,A2,deceptive,"(4, 1)",1,collect,{'type': 'collect'},collected,,27
6,A4,deceptive,"(8, 5)",2,collect,{'type': 'collect'},collected,,26
6,A3,deceptive,"(5, 9)",2,collect,{'type': 'collect'},collected,,25
6,A1,aggressive,"(4, 2)",0,move,"{'type': 'move', 'direction': 'W'}",moved_W,,25
7,A2,deceptive,"(4, 1)",1,raid,"{'type': 'raid', 'target_id': 'A1'}",raid_empty,,25
7,A3,deceptive,"(4, 9)",2,move,"{'type': 'move', 'direction': 'W'}",moved_W,,25
7,A4,deceptive,"(8, 4)",2,move,"{'type': 'move', 'direction': 'N'}",moved_N,,25
7,A1,aggressive,"(4, 2)",1,raid,"{'type': 'raid', 'target_id': 'A2'}",raided_A2_stole_1,,25
