tick,agent_id,personality,position,inventory,action_type,action_detail,result,message,resources_remaining
1,A1,aggressive,"(5, 6)",1,collect,{'type': 'collect'},collected,,29
1,A3,deceptive,"(4, 1)",0,move,"{'type': 'move', 'direction': 'N'}",moved_N,,29
1,A4,deceptive,"(8, 0)",0,move,"{'type': 'move', 'direction': 'E'}",moved_E,,29
1,A2,cooperative,"(9, 6)",0,move,"{'type': 'move', 'direction': 'E'}",moved_E,,29
2,A4,deceptive,"(8, 0)",1,collect,{'type': 'collect'},collected,,28
2,A2,cooperative,"(9, 6)",1,collect,{'type': 'collect'},collected,,27
2,A3,deceptive,"(4, 1)",1,collect,{'type': 'collect'},collected,,26
2,A1,aggressive,"(4, 6)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,26
3,A1,aggressive,"(3, 6)",1,move,"{'type': 'move', 'direction': 'W'}",moved_W,,26
3,A2,cooperative,"(9, 7)",1,move,"{'type': 'move', 'direction': 'S'}",moved_S,,26
3,A3,deceptive,"(5, 1)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,26
3,A4,deceptive,"(9, 0)",1,move,"{'type': 'move', 'direction': 'E'}",moved_E,,26
4,A3,deceptive,"(5, 1)",2,collect,{'type': 'collect'},collected,,25
4,A1,aggressive,"(3, 6)",2,collect,{'type': 'collect'},collected,,24
4,A2,cooperative,"(9, 8)",1,move,"{'type': 'move', 'direction': 'S'}",moved_S,,24
4,A4,deceptive,"(9, 1)",1,move,"{'type': 'move', 'direction': 'S'}",moved_S,,24
5,A3,deceptive,"(5, 0)",2,move,"{'type': 'move', 'direction': 'N'}",moved_N,,24
5,A2,cooperative,"(9, 8)",2,collect,{'type': 'collect'},collected,,23
5,A1,aggressive,"(3, 5)",2,move,"{'type': 'move', 'direction': 'N'}",moved_N,,23
5,A4,deceptive,"(9, 1)",2,collect,{'type': 'collect'},collected,,22
6,A2,cooperative,"(8, 8)",2,move,"{'type': 'move', 'direction': 'W'}",moved_W,,22
6,A1,aggressive,"(3, 5)",3,collect,{'type': 'collect'},collected,,21
6,A3,deceptive,"(5, 0)",3,collect,{'type': 'collect'},collected,,20
6,A4,deceptive,"(9, 2)",2,move,"{'type': 'move', 'direction': 'S'}",moved_S,,20
7,A2,cooperative,"(8, 8)",3,collect,{'type': 'collect'},collected,,19
7,A4,deceptive,"(8, 2)",2,move,"{'type': 'move', 'direction': 'W'}",moved_W,,19
7,A1,aggressive,"(4, 5)",3,move,"{'type': 'move', 'direction': 'E'}",moved_E,,19
7,A3,deceptive,"(5, 1)",3,move,"{'type': 'move', 'direction': 'S'}",moved_S,,19
8,A4,deceptive,"(8, 3)",2,move,"{'type': 'move', 'direction': 'S'}",moved_S,,19
8,A1,aggressive,"(4, 5)",4,collect,{'type': 'collect'},collected,,18
8,A3,deceptive,"(5, 2)",3,move,"{'type': 'move', 'direction': 'S'}",moved_S,,18
8,A2,cooperative,"(8, 9)",3,move,"{'type': 'move', 'direction': 'S'}",moved_S,,18
9,A4,deceptive,"(8, 3)",3,collect,{'type': 'collect'},collected,,17
9,A1,aggressive,"(4, 4)",4,move,"{'type': 'move', 'direction': 'N'}",moved_N,,17
9,A2,cooperative,"(8, 9)",4,collect,{'type': 'collect'},collected,,16
9,A3,deceptive,"(5, 3)",3,move,"{'type': 'move', 'direction': 'S'}",moved_S,,16
10,A4,deceptive,"(7, 3)",3,move,"{'type': 'move', 'direction': 'W'}",moved_W,,16
10,A2,cooperative,"(9, 9)",4,move,"{'type': 'move', 'direction': 'E'}",moved_E,,16
10,A3,deceptive,"(5, 3)",4,collect,{'type': 'collect'},collected,,15
10,A1,aggressive,"(4, 4)",5,collect,{'type': 'collect'},collected,,14
11,A4,deceptive,"(7, 3)",4,collect,{'type': 'collect'},collected,,13
11,A1,aggressive,"(3, 4)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,13
11,A2,cooperative,"(9, 9)",4,move,"{'type': 'move', 'direction': 'E'}",move_blocked,,13
11,A3,deceptive,"(6, 3)",4,move,"{'type': 'move', 'direction': 'E'}",moved_E,,13
12,A4,deceptive,"(7, 4)",4,move,"{'type': 'move', 'direction': 'S'}",moved_S,,13
12,A1,aggressive,"(2, 4)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,13
12,A2,cooperative,"(8, 9)",4,move,"{'type': 'move', 'direction': 'W'}",moved_W,,13
12,A3,deceptive,"(7, 3)",4,move,"{'type': 'move', 'direction': 'E'}",moved_E,,13
13,A4,deceptive,"(7, 4)",5,collect,{'type': 'collect'},collected,,12
13,A3,deceptive,"(7, 3)",4,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,12
13,A2,cooperative,"(7, 9)",4,move,"{'type': 'move', 'direction': 'W'}",moved_W,,12
13,A1,aggressive,"(1, 4)",5,move,"{'type': 'move', 'direction': 'W'}",moved_W,,12
14,A4,deceptive,"(7, 5)",5,move,"{'type': 'move', 'direction': 'S'}",moved_S,,12
14,A3,deceptive,"(7, 4)",4,move,"{'type': 'move', 'direction': 'S'}",moved_S,,12
14,A1,aggressive,"(1, 3)",5,move,"{'type': 'move', 'direction': 'N'}",moved_N,,12
14,A2,cooperative,"(8, 9)",4,move,"{'type': 'move', 'direction': 'E'}",moved_E,,12
15,A3,deceptive,"(7, 4)",4,move,"{'type': 'move', 'direction': 'S'}",move_blocked,,12
15,A4,deceptive,"(7, 5)",6,collect,{'type': 'collect'},collected,,11
15,A2,cooperative,"(7, 9)",4,move,"{'type': 'move', 'direction': 'W'}",moved_W,,11
15,A1,aggressive,"(1, 3)",6,collect,{'type': 'collect'},collected,,10
16,A3,deceptive,"(7, 4)",6,raid,"{'type': 'raid', 'target_id': 'A4'}",raided_A4_stole_2,,10
16,A1,aggressive,"(0, 3)",6,move,"{'type': 'move', 'direction': 'W'}",moved_W,,10
16,A4,deceptive,"(7, 5)",7,raid,"{'type': 'raid', 'target_id': 'A3'}",raided_A3_stole_3,,10
