ticks,collective_efficiency,agent_scores,resources_remaining,malformed_rates,trial,seed,condition
50,0.5333333333333333,"{'A3': 0, 'A2': 10, 'A1': 1, 'A4': 5}",14,{},1,1,llm_comms
50,0.4666666666666667,"{'A2': 3, 'A1': 3, 'A3': 4, 'A4': 4}",16,{},2,2,llm_comms
50,0.03333333333333333,"{'A2': 0, 'A1': 1, 'A4': 0, 'A3': 0}",29,{},3,3,llm_comms
50,0.43333333333333335,"{'A1': 3, 'A4': 5, 'A3': 3, 'A2': 2}",17,{},4,4,llm_comms
50,0.1,"{'A2': 1, 'A1': 0, 'A3': 1, 'A4': 1}",27,{},5,5,llm_comms
50,0.3,"{'A4': 4, 'A2': 0, 'A1': 3, 'A3': 2}",21,{},6,6,llm_comms
50,0.23333333333333334,"{'A1': 1, 'A3': 0, 'A4': 4, 'A2': 2}",23,{},7,7,llm_comms
50,0.2,"{'A3': 0, 'A4': 2, 'A1': 4, 'A2': 0}",24,{},8,8,llm_comms
50,0.5333333333333333,"{'A4': 9, 'A3': 5, 'A2': 2, 'A1': 0}",14,{},9,9,llm_comms
50,0.23333333333333334,"{'A2': 1, 'A4': 2, 'A3': 1, 'A1': 3}",23,{},10,10,llm_comms
50,0.2,"{'A3': 0, 'A1': 0, 'A4': 5, 'A2': 1}",24,{},11,11,llm_comms
50,0.06666666666666667,"{'A4': 0, 'A2': 0, 'A3': 1, 'A1': 1}",28,{},12,12,llm_comms
50,0.4,"{'A3': 6, 'A4': 3, 'A1': 0, 'A2': 3}",18,{},13,13,llm_comms
50,0.3333333333333333,"{'A3': 1, 'A2': 3, 'A1': 3, 'A4': 3}",20,{},14,14,llm_comms
50,0.06666666666666667,"{'A3': 1, 'A2': 0, 'A1': 0, 'A4': 1}",28,{},15,15,llm_comms
50,0.16666666666666666,"{'A3': 0, 'A4': 0, 'A2': 1, 'A1': 4}",25,{},16,16,llm_comms
50,0.36666666666666664,"{'A3': 7, 'A4': 4, 'A2': 0, 'A1': 0}",19,{},17,17,llm_comms
50,0.36666666666666664,"{'A2': 4, 'A4': 5, 'A3': 0, 'A1': 2}",19,{},18,18,llm_comms
50,0.4666666666666667,"{'A1': 2, 'A4': 0, 'A2': 0, 'A3': 12}",16,{},19,19,llm_comms
50,0.43333333333333335,"{'A1': 0, 'A3': 9, 'A2': 2, 'A4': 2}",17,{},20,20,llm_comms
