ticks,collective_efficiency,agent_scores,resources_remaining,malformed_rates,trial,seed,condition
50,0.6333333333333333,"{'A2': 3, 'A4': 4, 'A3': 9, 'A1': 3}",11,{},1,1,llm_silent
50,0.4,"{'A1': 0, 'A3': 4, 'A2': 3, 'A4': 5}",18,{},2,2,llm_silent
50,0.3,"{'A2': 1, 'A4': 0, 'A1': 2, 'A3': 6}",21,{},3,3,llm_silent
50,0.4666666666666667,"{'A1': 3, 'A3': 3, 'A4': 3, 'A2': 5}",16,{},4,4,llm_silent
50,0.13333333333333333,"{'A2': 1, 'A1': 0, 'A3': 1, 'A4': 2}",26,{},5,5,llm_silent
50,0.36666666666666664,"{'A4': 2, 'A3': 4, 'A2': 2, 'A1': 3}",19,{},6,6,llm_silent
50,0.23333333333333334,"{'A4': 2, 'A3': 0, 'A1': 3, 'A2': 2}",23,{},7,7,llm_silent
50,0.23333333333333334,"{'A4': 1, 'A3': 0, 'A1': 4, 'A2': 2}",23,{},8,8,llm_silent
50,0.5666666666666667,"{'A4': 4, 'A1': 2, 'A2': 8, 'A3': 3}",13,{},9,9,llm_silent
50,0.4,"{'A2': 0, 'A4': 5, 'A1': 4, 'A3': 3}",18,{},10,10,llm_silent
50,0.23333333333333334,"{'A1': 0, 'A3': 0, 'A2': 3, 'A4': 4}",23,{},11,11,llm_silent
50,0.13333333333333333,"{'A2': 1, 'A4': 1, 'A3': 1, 'A1': 1}",26,{},12,12,llm_silent
50,0.7333333333333333,"{'A3': 7, 'A1': 0, 'A2': 7, 'A4': 8}",8,{},13,13,llm_silent
50,0.23333333333333334,"{'A1': 2, 'A4': 1, 'A3': 2, 'A2': 2}",23,{},14,14,llm_silent
50,0.1,"{'A3': 2, 'A2': 0, 'A1': 0, 'A4': 1}",27,{},15,15,llm_silent
50,0.6333333333333333,"{'A2': 1, 'A3': 0, 'A1': 11, 'A4': 7}",11,{},16,16,llm_silent
50,0.5,"{'A3': 5, 'A4': 9, 'A1': 0, 'A2': 1}",15,{},17,17,llm_silent
50,0.23333333333333334,"{'A3': 0, 'A1': 3, 'A4': 3, 'A2': 1}",23,{},18,18,llm_silent
50,0.5,"{'A1': 1, 'A2': 8, 'A4': 4, 'A3': 2}",15,{},19,19,llm_silent
50,0.5333333333333333,"{'A1': 0, 'A2': 6, 'A4': 6, 'A3': 4}",14,{},20,20,llm_silent
50,0.6666666666666666,"{'A4': 5, 'A3': 0, 'A1': 8, 'A2': 7}",10,{},21,21,llm_silent
50,0.7666666666666667,"{'A4': 3, 'A2': 14, 'A3': 0, 'A1': 6}",7,{},22,22,llm_silent
50,0.4,"{'A1': 4, 'A2': 0, 'A4': 4, 'A3': 4}",18,{},23,23,llm_silent
50,0.4666666666666667,"{'A2': 1, 'A4': 7, 'A3': 2, 'A1': 4}",16,{},24,24,llm_silent
50,0.2,"{'A1': 2, 'A4': 2, 'A2': 2, 'A3': 0}",24,{},25,25,llm_silent
50,0.3,"{'A4': 3, 'A1': 2, 'A2': 2, 'A3': 2}",21,{},26,26,llm_silent
50,0.36666666666666664,"{'A2': 2, 'A3': 5, 'A1': 2, 'A4': 2}",19,{},27,27,llm_silent
50,0.4,"{'A4': 2, 'A1': 0, 'A2': 9, 'A3': 1}",18,{},28,28,llm_silent
50,0.26666666666666666,"{'A4': 0, 'A1': 6, 'A2': 0, 'A3': 2}",22,{},29,29,llm_silent
50,0.5,"{'A2': 4, 'A1': 8, 'A3': 1, 'A4': 2}",15,{},30,30,llm_silent
